ID	Symbol	Chromosome	Start	End	CPCG0268	CPCG0366	CPCG0255	CPCG0258	CPCG0324	CPCG0246	CPCG0342	CPCG0336	CPCG0339	CPCG0331	CPCG0346	CPCG0365	CPCG0345
NR_046018	DDX11L1	1	11873	14409	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_024540	WASH7P	1	14361	29370	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_026820	FAM138F	1	34610	36081	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_026818	FAM138A	1	34610	36081	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_001005484	OR4F5	1	69090	70008	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_039983	LOC729737	1	134772	140566	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_028325	LOC100132062	1	323891	328581	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_028322	LOC100132287	1	323891	328581	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_001005221	OR4F29	1	367658	368597	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_001005277	OR4F16	1	367658	368597	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_001005224	OR4F3	1	367658	368597	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_028327	LOC100133331	1	661138	665731	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_033908	LOC100288069	1	700244	714068	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_024321	LINC00115	1	761585	762902	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_047519	LOC643837	1	762970	794826	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_027055	FAM41C	1	803450	812182	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_026874	LOC100130417	1	852952	854817	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_152486	SAMD11	1	861120	879961	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_015658	NOC2L	1	879582	894679	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_198317	KLHL17	1	895966	901099	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_032129	PLEKHN1	1	901876	910484	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_027693	C1orf170	1	910578	917473	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_021170	HES4	1	934341	935552	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_005101	ISG15	1	948846	949919	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_198576	AGRN	1	955502	991499	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_001205252	RNF223	1	1007125	1009687	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_017891	C1orf159	1	1017197	1051736	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_038869	LOC254099	1	1072396	1079434	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_029639	MIR200B	1	1102483	1102578	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_029834	MIR200A	1	1103242	1103332	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_029957	MIR429	1	1104384	1104467	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_001130045	TTLL10	1	1109285	1133313	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_004195	TNFRSF18	1	1138887	1142089	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_003327	TNFRSF4	1	1146705	1149548	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_016176	SDF4	1	1152287	1167447	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_080605	B3GALT6	1	1167628	1170420	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_001014980	FAM132A	1	1177825	1182102	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_058167	UBE2J2	1	1189291	1209234	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_037668	SCNN1D	1	1215815	1227409	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_030649	ACAP3	1	1227763	1243269	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_153339	PUSL1	1	1243993	1247057	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_001256456	CPSF3L	1	1246964	1260067	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_001029885	GLTPD1	1	1260142	1264276	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_152228	TAS1R3	1	1266725	1269844	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_004421	DVL1	1	1270657	1284492	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_032348	MXRA8	1	1288070	1293915	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_017900	AURKAIP1	1	1309109	1310818	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_030937	CCNL2	1	1321090	1334718	0	1	0	0	0	1	0	1	1	0	1	1	0
NR_015434	LOC148413	1	1334909	1337426	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_017971	MRPL20	1	1337275	1342693	0	1	0	0	0	1	0	1	1	0	1	1	0
NM_001145210	ANKRD65	1	1353799	1356824	0	1	0	0	0	1	0	1	1	0	1	1	0
