chr	start	end	binNum	observed	expected	log2CopyRatio	p
chr1	10000	120010000	11977	12330.7	11977	-0.00640009057588936	0.337523
chr1	120010000	122460000	241	97.3298	241	-1.35646785643305	4.5333e-97
chr1	122460000	124800000	234	1064.69	234	2.13746478906784	1.71878e-229
chr1	124800000	248956422	10609	10783.4	10609	-0.0248647498790045	0.569147
chr10	10000	39570000	3952	3917.69	3952	-0.0609679085684273	0.978536
chr10	39570000	41560000	195	11.6608	195	-4.11212365304672	0
chr10	41560000	42290000	50	159.685	50	1.62684059373261	4.23157e-118
chr10	42290000	133797422	9139	9382.32	9139	-0.0104798111292478	0.421121
chr11	60000	50820000	5076	5314.75	5076	0.0179215555594587	0.194467
chr11	50820000	54530000	338	39.5912	338	-3.14215975034591	0
chr11	54530000	135086622	8045	8418.54	8045	0.0170894263051654	0.165539
chr12	10000	34940000	3489	3638.58	3489	0.0121737276565163	0.222889
chr12	34940000	36380000	144	14.0929	144	-3.40141659484469	2.47511e-38
chr12	36380000	133275309	9686	10348.1	9686	0.0470047869650871	0.0832359
chr13	16000000	17420000	142	452.985	142	1.62518414247459	3.49822e-153
chr13	17420000	114364328	9664	9677.55	9664	-0.0463668041206191	0.761396
chr14	16000000	19660000	339	61.2397	339	-2.51713435800755	5.13496e-259
chr14	19660000	107043718	8724	9006.64	8724	-0.0023889784656372	0.290382
chr15	17000000	19780000	274	59.0394	274	-2.26281413357706	1.19196e-42
chr15	19780000	20430000	65	117.672	65	0.807871243433704	1.42823e-15
chr15	20430000	22220000	168	23.0538	168	-2.91377296048584	2.2046619292536e-308
chr15	22220000	101991189	7966	7964.05	7966	-0.0487414068868792	0.922393
chr16	10000	32150000	3210	3002.13	3210	-0.144975052414678	0.149125
chr16	32150000	34020000	179	36.8069	179	-2.33029964139182	5.34627e-233
chr16	34020000	37080000	294	298.713	294	-0.025444335729328	0.523068
chr16	37080000	38290000	121	30.4684	121	-2.03800960661903	3.34724e-96
chr16	46380000	46460000	8	102.954	8	3.63746786690754	5.76953e-72
chr16	46460000	90338345	4378	4448.17	4378	-0.0254482343572613	0.58508
chr17	60000	23200000	2302	2231.26	2302	-0.0934174042962124	0.583026
chr17	23200000	25380000	218	30.4409	218	-2.88863342136676	5.86994e-277
chr17	25380000	25390000	1	49.7794	1	5.58908873029069	3.71294e-07
chr17	25390000	25920000	53	7.00135	53	-2.96867553015843	1.13081e-284
chr17	25920000	25930000	1	430.78	1	8.70241925465447	2.3106e-06
chr17	25930000	26600000	67	12.3005	67	-2.49383234023445	2.73865e-82
chr17	26600000	26610000	1	67.6841	1	6.03235685204391	2.95595e-06
chr17	26610000	83257441	5657	5748.87	5657	-0.0251469695461334	0.560356
chr18	10000	15820000	1577	1676.27	1577	0.0396836794357245	0.0855285
chr18	15820000	20920000	506	163.74	506	-1.6761187899902	3.27836e-141
chr18	20920000	80373285	5932	6138.12	5932	0.000890047094924504	0.328473
chr19	60000	24440000	2438	2417.2	2438	-0.0607494846246802	0.961788
chr19	24440000	27200000	272	1.61501	272	-7.44430792492699	0
chr19	27240000	58617616	3138	3167.17	3138	-0.0350392510451295	0.710358
chr2	10000	242193529	24064	25292.2	24064	0.0234278549374797	0.160987
chr20	60000	26640000	2654	2161.61	2654	-0.344450322532609	7.63871e-07
chr20	26640000	28490000	185	10.6299	185	-4.16971354419471	0
chr20	28490000	64444167	3568	3179.2	3568	-0.214840043358372	0.00602577
chr21	5010000	9720000	364	80.4069	364	-2.22693544114852	8.88052e-219
chr21	9720000	10820000	97	159.841	97	0.67219265579747	1.89837e-19
chr21	10860000	12920000	206	0	206	-33.2676691548359	1.04315e-42
chr21	12960000	46709983	3371	3340.21	3371	-0.0616260249201408	0.934317
chr22	10510000	12910000	180	129.135	180	-0.52750503899119	9.29639e-12
chr22	12950000	15280000	224	0.283802	224	-9.67278635269112	0
chr22	15280000	50818468	3535	3490.14	3535	-0.0668135124231565	0.893343
chr3	10000	91580000	9153	9866.75	9153	0.0599420684271266	0.0452883
chr3	91580000	93470000	189	39.9036	189	-2.29218362606333	8.22782e-228
chr3	93470000	93480000	1	454.189	1	8.77876074966024	1.53631e-08
chr3	93480000	198295559	10473	11210.8	10473	0.0498262636370026	0.0573738
chr4	10000	49870000	4962	5281.2	4962	0.0415558365091709	0.0868912
chr4	49870000	51810000	190	31.8997	190	-2.62277286228519	7.29531e-275
chr4	51810000	190214555	13833	14629.7	13833	0.0323979081332016	0.119723
chr5	10000	47310000	4722	4992.46	4722	0.0319646213318778	0.136678
chr5	47310000	49590000	228	0	228	-33.2676691548359	0
chr5	49590000	49670000	8	138.787	8	4.06834042267436	7.02433e-89
chr5	49670000	69540000	1983	2123.3	1983	0.0502353399145353	0.0522655
chr5	69540000	71260000	172	15.2366	172	-3.54518385832403	0
chr5	71260000	181538259	11023	11717.8	11023	0.0397966067948689	0.080655
chr6	60000	170805979	17014	17865.4	17014	0.0220576506812437	0.182475
chr7	10000	58200000	5815	6120.48	5815	0.0254774035093177	0.124752
chr7	58200000	60420000	222	12.6646	222	-4.18007446335138	3.92518e-64
chr7	60420000	159345973	9869	10088.4	9869	-0.0166666344523134	0.392499
chr8	60000	45880000	4570	3314.86	4570	-0.511634430292834	1.10911e-14
chr8	45920000	145138636	9913	10641.9	9913	0.0539739105295702	0.0484484
chr9	10000	39150000	3914	3959.12	3914	-0.0318521660048477	0.686256
chr9	39150000	40870000	172	34.2774	172	-2.37546718236356	9.97877e-240
chr9	40870000	43270000	240	236.746	240	-0.0680825611574958	0.916211
chr9	43270000	68330000	877	271.455	877	-1.7402519906804	1.33922e-148
chr9	68330000	138394717	7002	7270.44	7002	0.00588740970631637	0.269997
chrX	10000	2780000	247	450.168	247	0.81756425938303	1.86218e-49
chrX	2780000	58540000	5537	2915.06	5537	-0.973967149169693	1.1644e-52
chrX	58540000	62420000	384	11.8222	384	-5.06992407466121	2.43316e-122
chrX	62460000	156040895	9335	4841.72	9335	-0.995518578433561	1.36705e-55
