chr	start	end	strand	target_id	gene_name	pval	qval	num_aggregated_transcripts	sum_mean_obs_counts
chrY	11153858	11215026	-	ENSG00000278212.2	AC134878.2	0.00893495645159175	0.223373911289794	3	10.5935316012478
chrY	19703865	19744939	-	ENSG00000012817.15	KDM5D	0.176445503423875	0.965352140283081	10	55.5216046931213
chrY	10197256	10199103	-	ENSG00000225840.2	AC010970.1	0.180610738523803	0.965352140283081	1	13.0917071042644
chrY	12088010	12421587	-	ENSG00000206159.11	GYG2P1	0.188829470052062	0.965352140283081	6	18.0348152149073
chrY	13703902	13915824	+	ENSG00000241859.7	ANOS2P	0.220202375009159	0.965352140283081	4	14.8060314585946
chrY	14639096	14640358	+	ENSG00000226555.1	AGKP1	0.283687205400663	0.965352140283081	1	4.54020204458999
chrY	15348662	15456074	-	ENSG00000234620.1	PUDPP1	0.302753621851782	0.965352140283081	1	2.69613740882344
chrY	19598188	19598757	+	ENSG00000267793.1	AC009977.1	0.363357870605916	0.965352140283081	1	5.02703318312215
chrY	18790709	18791051	-	ENSG00000248573.1	PRYP6	0.451275896762414	0.965352140283081	1	1.08328166789022
chrY	18674033	18739197	+	ENSG00000242153.7	OFD1P6Y	0.469650717459832	0.965352140283081	1	1.55748704223826
chrY	18833002	18839313	-	ENSG00000224151.1	USP9YP28	0.677756857274313	0.965352140283081	1	1.70817923270795
chrY	13703899	13706024	+	ENSG00000154620.6	TMSB4Y	0.696747931424184	0.965352140283081	1	5.27968421155875
chrY	10200155	10200306	+	ENSG00000251705.1	RNA5-8SP6	0.699198904970297	0.965352140283081	1	6.97705280120224
chrY	18992467	18992709	-	ENSG00000185275.6	CD24P4	0.702414071941834	0.965352140283081	1	1.97762405967717
chrY	19455431	19567092	-	ENSG00000215580.11	BCORP1	0.722577180300515	0.965352140283081	4	13.1092970413934
chrY	18481087	18487400	+	ENSG00000227494.2	USP9YP14	0.802085622480241	0.965352140283081	1	2.49279549739306
chrY	19567313	19606274	+	ENSG00000131002.12	TXLNGY	0.816063749029623	0.965352140283081	13	70.4169255514505
chrY	12537650	12860839	+	ENSG00000114374.13	USP9Y	0.829929990105969	0.965352140283081	9	56.0796824668314
chrY	18546671	18588963	+	ENSG00000172468.13	HSFY1	0.830911885878252	0.965352140283081	1	2.46173148985665
chrY	11957208	11987386	+	ENSG00000235649.2	MXRA5Y	0.859312961368321	0.965352140283081	1	2.84787729160614
chrY	19076946	19077416	-	ENSG00000286265.1	AC007244.1	0.883313858300342	0.965352140283081	1	3.58496977470626
chrY	14522573	14845650	+	ENSG00000165246.14	NLGN4Y	0.934471735656385	0.965352140283081	8	37.7826550562556
chrY	12904108	12920478	+	ENSG00000067048.17	DDX3Y	0.9593193183856	0.965352140283081	7	38.331271168219
chrY	18128610	18137029	+	ENSG00000244646.4	XKRY2	0.96483463037447	0.965352140283081	1	1.605947692192
chrY	13248379	13480673	-	ENSG00000183878.15	UTY	0.965352140283081	0.965352140283081	14	71.4993914250911
