chr	start	end	strand	target_id	gene_name	pval	qval	num_aggregated_transcripts	sum_mean_obs_counts
chr19	46838136	46850992	-	ENSG00000042753.11	AP2S1	8.79374071342649e-07	0.000685911775647266	8	30.6789528559474
chr19	37312837	37369365	+	ENSG00000181666.18	ZNF875	1.93359281953229e-06	0.000754101199617595	23	105.898736036219
chr19	53864763	53876435	+	ENSG00000179820.16	MYADM	0.000202006803206671	0.0525217688337344	7	28.5178160958745
chr19	48872421	48876058	+	ENSG00000087074.8	PPP1R15A	0.000645120993915314	0.125798593813486	2	13.1516022480061
chr19	51012739	51020175	-	ENSG00000129451.12	KLK10	0.00250768125410145	0.339176679233958	4	9.78454332342232
chr19	45467995	45475179	+	ENSG00000125740.14	FOSB	0.00260905137872276	0.339176679233958	12	57.7137754020136
chr19	50333796	50344767	-	ENSG00000131401.11	NAPSB	0.00333542193114828	0.37166130089938	3	8.5032695591895
chr19	50384204	50418018	+	ENSG00000062822.14	POLD1	0.00651108270439665	0.518609196286503	6	16.2936982661962
chr19	51889235	51905040	-	ENSG00000198093.11	ZNF649	0.00681882626050165	0.518609196286503	7	40.8542597486093
chr19	42485076	42485714	-	ENSG00000269374.1	AC011497.2	0.00732283079827363	0.518609196286503	1	4.43645554619919
chr19	39406847	39409412	+	ENSG00000128016.7	ZFP36	0.00765012472706221	0.518609196286503	3	22.5707262700678
chr19	20535825	20565809	-	ENSG00000237440.9	ZNF737	0.00943890732487098	0.518609196286503	5	27.8738873541442
chr19	51964340	51986856	-	ENSG00000256683.7	ZNF350	0.00958975731786432	0.518609196286503	9	42.9721865076359
chr19	45079288	45305284	+	ENSG00000007047.15	MARK4	0.00992670156694824	0.518609196286503	10	40.2777090422932
chr19	58059239	58086310	+	ENSG00000176293.19	ZNF135	0.00997325377474044	0.518609196286503	6	23.3664526836662
chr19	47870467	47886315	-	ENSG00000105398.4	SULT2A1	0.0147593034172145	0.719516041589205	1	3.8127781310153
chr19	50188186	50310542	+	ENSG00000105357.18	MYH14	0.0174361499139065	0.800011584285122	5	19.3732982917449
chr19	37696371	37719761	-	ENSG00000198182.13	ZNF607	0.0187078824737192	0.808680817661769	3	15.9312593564926
chr19	49859882	49878351	-	ENSG00000039650.12	PNKP	0.0206869900472428	0.808680817661769	18	59.7165116307564
chr19	52588505	52597345	+	ENSG00000123870.10	ZNF137P	0.020735405581071	0.808680817661769	2	9.09455715964234
chr19	51745172	51804110	-	ENSG00000171051.8	FPR1	0.0224849342307258	0.835154699998388	4	10.9678485504167
chr19	43967862	43998326	+	ENSG00000204920.11	ZNF155	0.028311694280812	0.858443482505036	5	20.0905367039336
chr19	40440844	40444335	-	ENSG00000167565.13	SERTAD3	0.0286497530534162	0.858443482505036	4	16.8933293180159
chr19	50976468	50984099	-	ENSG00000169035.12	KLK7	0.0293417686491313	0.858443482505036	1	2.08535140134879
chr19	45306413	45322875	-	ENSG00000104879.5	CKM	0.0297649891995413	0.858443482505036	1	4.34853956832017
chr19	48795062	48811029	-	ENSG00000105552.15	BCAT2	0.0306138820591431	0.858443482505036	9	33.5866447693203
chr19	51804816	51890950	-	ENSG00000161551.14	ZNF577	0.031451155283302	0.858443482505036	14	66.6031748919216
chr19	22770375	22770622	+	ENSG00000279966.2	AC008626.2	0.0313225745036798	0.858443482505036	1	2.32362307447605
chr19	57958437	57974534	-	ENSG00000177025.3	C19orf18	0.0319164884521103	0.858443482505036	1	4.92473845778702
chr19	22596257	22603550	+	ENSG00000269332.5	GOLGA2P9	0.0368747558442244	0.958743651949835	1	1.9244328756272
chr19	34926903	34945170	+	ENSG00000168661.14	ZNF30	0.0399259570657523	0.971016510434985	5	19.6341703084403
chr19	30228290	30713538	+	ENSG00000198597.9	ZNF536	0.0405772473882077	0.971016510434985	4	12.5788862937452
chr19	49528003	49546962	+	ENSG00000142552.8	RCN3	0.0411410757926057	0.971016510434985	2	8.0284468123396
chr19	49766968	49807113	+	ENSG00000196961.12	AP2A1	0.0423263607112686	0.971016510434985	6	25.0377902996352
chr19	39412669	39428415	+	ENSG00000090924.15	PLEKHG2	0.0439372952237191	0.979174007842882	9	35.1232859410901
chr19	54249421	54257301	-	ENSG00000105609.17	LILRB5	0.0477432437503974	0.999828459195453	1	4.84249603075238
chr19	35887653	35902303	-	ENSG00000167604.14	NFKBID	0.0510817178957796	0.999828459195453	8	21.4009134088636
chr19	40421589	40425992	-	ENSG00000197019.5	SERTAD1	0.0521334577259358	0.999828459195453	1	6.63966343660363
chr19	36604817	36634114	+	ENSG00000161298.18	ZNF382	0.0529941849850395	0.999828459195453	7	26.8838097698723
chr19	45589764	45602212	-	ENSG00000177464.5	GPR4	0.052692929050652	0.999828459195453	1	4.75860530385578
