chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR
chr21	42868360	42868861	501	*	4.7	5.46	1.77	3.69	4.96e-15	1e-11
chr21	32132314	32132815	501	*	5.41	6.02	3.86	2.16	1.89e-12	1.55e-09
chr21	38475422	38475923	501	*	4.84	5.51	2.91	2.6	4.24e-11	2.11e-08
chr21	38474194	38474695	501	*	4.5	5.2	2.37	2.83	9.21e-11	3.93e-08
chr21	44901155	44901656	501	*	4.87	5.59	2.56	3.03	1.37e-10	5.46e-08
chr21	38472649	38473150	501	*	4.7	5.34	2.9	2.44	3.03e-10	1.06e-07
chr21	32134465	32134966	501	*	4.72	5.37	2.95	2.42	3.24e-10	1.12e-07
chr21	39745538	39746039	501	*	4.26	2.64	5.14	-2.51	5.04e-10	1.64e-07
chr21	38460919	38461420	501	*	4.86	5.48	3.28	2.2	9.8e-10	2.88e-07
chr21	42869025	42869526	501	*	3.82	4.63	0	4.63	1.22e-09	3.46e-07
chr21	46196615	46197116	501	*	4.99	3.39	5.86	-2.47	1.46e-09	4.03e-07
chr21	38476166	38476667	501	*	4.9	5.52	3.31	2.21	2.17e-09	5.66e-07
chr21	34957302	34957803	501	*	5.33	5.88	4.05	1.83	6.6e-09	1.42e-06
chr21	32033031	32033532	501	*	4.14	4.89	1.37	3.52	7.59e-09	1.6e-06
chr21	45330091	45330592	501	*	6.14	6.63	5.11	1.52	2.23e-08	3.99e-06
chr21	41342851	41343352	501	*	4.29	2.51	5.2	-2.69	2.41e-08	4.24e-06
chr21	44533659	44534160	501	*	4.34	5.06	1.89	3.18	4.22e-08	6.76e-06
chr21	38493524	38494025	501	*	5.12	5.76	3.38	2.38	8.9e-08	1.29e-05
chr21	38489781	38490282	501	*	5.32	5.87	4.09	1.77	3.28e-07	3.74e-05
chr21	39742281	39742782	501	*	4.94	4	5.61	-1.61	4.27e-07	4.6e-05
chr21	46078990	46079491	501	*	4.68	5.24	3.37	1.87	5.25e-07	5.42e-05
chr21	32034253	32034754	501	*	3.37	4.14	0.2	3.94	1.42e-06	0.000118
chr21	41313949	41314450	501	*	3.85	1.69	4.83	-3.14	1.82e-06	0.000143
chr21	37665803	37666304	501	*	4.68	5.21	3.52	1.69	1.99e-06	0.000152
chr21	35048057	35048558	501	*	5.66	6.11	4.78	1.33	2.22e-06	0.000166
chr21	31173876	31174377	501	*	5.16	5.67	4.09	1.58	2.27e-06	0.000169
chr21	38324791	38325292	501	*	4.22	4.88	2.29	2.59	2.35e-06	0.000174
chr21	38497961	38498462	501	*	4.4	5.04	2.64	2.4	2.41e-06	0.000177
chr21	31874905	31875406	501	*	5.33	5.81	4.34	1.48	2.6e-06	0.000188
chr21	35043935	35044436	501	*	4.48	5.01	3.3	1.71	2.75e-06	0.000195
chr21	38323914	38324415	501	*	4.65	5.28	3	2.28	2.83e-06	2e-04
chr21	38439861	38440362	501	*	4.65	5.19	3.42	1.78	3.33e-06	0.000227
chr21	34808134	34808635	501	*	4.76	5.3	3.54	1.77	3.79e-06	0.000251
chr21	45427242	45427743	501	*	5.37	5.82	4.5	1.32	3.8e-06	0.000252
chr21	35050391	35050892	501	*	5.55	5.97	4.77	1.2	4.35e-06	0.000277
chr21	38486711	38487212	501	*	4.08	4.74	2.22	2.52	4.92e-06	0.000306
chr21	42747688	42748189	501	*	5.64	6.16	4.53	1.63	5.15e-06	0.000317
chr21	41345444	41345945	501	*	5.29	4.25	6.01	-1.76	5.99e-06	0.000358
chr21	46197389	46197890	501	*	3.82	2.12	4.72	-2.6	6.44e-06	0.000376
chr21	43900295	43900796	501	*	4.47	3.27	5.24	-1.97	7.12e-06	0.000407
chr21	38494622	38495123	501	*	4.57	5.17	3.09	2.07	7.51e-06	0.000425
