test_ID	SV_type	altered_TAD	altered_Exprs
0	BND	FALSE	FALSE
1	BND	FALSE	FALSE
2	BND	FALSE	FALSE
3	BND	FALSE	FALSE
4	DUP	FALSE	FALSE
5	DUP	TRUE	FALSE
6	DUP	FALSE	FALSE
7	DUP	FALSE	FALSE
8	BND	FALSE	TRUE
9	BND	FALSE	TRUE
10	BND	FALSE	FALSE
11	BND	FALSE	FALSE
12	BND	FALSE	FALSE
13	BND	FALSE	FALSE
14	BND	FALSE	FALSE
16	BND	FALSE	FALSE
17	BND	FALSE	FALSE
18	UNKNOWN	FALSE	TRUE
19	UNKNOWN	FALSE	TRUE
20	DUP	FALSE	FALSE
21	BND,DUP	FALSE	TRUE
22	BND	FALSE	FALSE
23	BND	FALSE	TRUE
24	BND	FALSE	FALSE
25	BND	FALSE	FALSE
26	BND	FALSE	FALSE
28	BND	FALSE	FALSE
29	BND	FALSE	FALSE
31	BND	FALSE	TRUE
32	BND	FALSE	FALSE
33	BND	FALSE	FALSE
34	BND	FALSE	FALSE
36	UNKNOWN	FALSE	FALSE
37	UNKNOWN	FALSE	FALSE
39	UNKNOWN	FALSE	FALSE
40	UNKNOWN	FALSE	FALSE
41	UNKNOWN	FALSE	FALSE
42	BND	FALSE	TRUE
43	BND	FALSE	TRUE
44	BND	TRUE	FALSE
45	BND,DEL	FALSE	TRUE
46	BND,DEL	FALSE	TRUE
47	DUP	FALSE	FALSE
48	DUP	FALSE	FALSE
49	BND	FALSE	FALSE
50	BND	FALSE	FALSE
53	BND	FALSE	FALSE
54	BND	FALSE	FALSE
55	BND	FALSE	FALSE
56	BND	TRUE	FALSE
58	BND	FALSE	FALSE
59	BND	FALSE	FALSE
60	BND	FALSE	FALSE
61	UNKNOWN	TRUE	FALSE
62	UNKNOWN	TRUE	FALSE
63	UNKNOWN	FALSE	FALSE
65	BND	FALSE	FALSE
66	BND	FALSE	FALSE
67	BND	FALSE	FALSE
68	BND	FALSE	FALSE
69	BND	FALSE	FALSE
70	BND	FALSE	FALSE
71	BND	FALSE	FALSE
72	BND	FALSE	FALSE
74	UNKNOWN	FALSE	FALSE
77	DEL	FALSE	FALSE
78	DEL	FALSE	FALSE
79	DEL	FALSE	FALSE
80	DEL	FALSE	FALSE
81	DEL	FALSE	FALSE
82	DEL	FALSE	FALSE
83	DEL	FALSE	FALSE
84	UNKNOWN	FALSE	FALSE
85	UNKNOWN	FALSE	FALSE
87	UNKNOWN	FALSE	FALSE
88	UNKNOWN	FALSE	FALSE
89	UNKNOWN	FALSE	FALSE
90	UNKNOWN	FALSE	FALSE
91	INV	FALSE	FALSE
92	INV	FALSE	FALSE
93	DUP	FALSE	FALSE
94	DUP	FALSE	FALSE
95	UNKNOWN	FALSE	FALSE
96	BND,UNKNOWN	FALSE	FALSE
97	BND	FALSE	FALSE
98	BND	FALSE	FALSE
99	DEL	FALSE	FALSE
100	DEL	FALSE	FALSE
101	UNKNOWN	FALSE	FALSE
102	UNKNOWN	FALSE	FALSE
103	UNKNOWN	FALSE	FALSE
104	UNKNOWN	FALSE	FALSE
105	DEL	FALSE	FALSE
106	DEL	FALSE	FALSE
108	BND	TRUE	FALSE
109	BND	FALSE	FALSE
113	BND,UNKNOWN	FALSE	FALSE
114	BND,UNKNOWN	FALSE	FALSE
115	BND	FALSE	FALSE
116	BND	FALSE	FALSE
117	BND	FALSE	FALSE
119	BND	FALSE	FALSE
120	BND	FALSE	FALSE
121	BND	TRUE	FALSE
124	BND	FALSE	FALSE
125	UNKNOWN	FALSE	FALSE
126	UNKNOWN	FALSE	FALSE
127	UNKNOWN	FALSE	FALSE
129	BND,UNKNOWN	FALSE	FALSE
130	BND	FALSE	FALSE
131	BND	FALSE	FALSE
132	BND	FALSE	FALSE
133	BND	FALSE	FALSE
134	BND	FALSE	FALSE
135	BND	FALSE	FALSE
136	BND	FALSE	FALSE
137	BND,UNKNOWN	FALSE	FALSE
138	UNKNOWN	FALSE	FALSE
140	UNKNOWN	TRUE	FALSE
141	UNKNOWN	TRUE	FALSE
142	BND	FALSE	FALSE
144	DUP	FALSE	FALSE
145	DUP	FALSE	FALSE
147	UNKNOWN	FALSE	FALSE
149	UNKNOWN	FALSE	FALSE
151	UNKNOWN	FALSE	FALSE
152	UNKNOWN	FALSE	FALSE
153	UNKNOWN	FALSE	FALSE
154	UNKNOWN	FALSE	FALSE
155	UNKNOWN	FALSE	FALSE
156	UNKNOWN	FALSE	FALSE
157	BND,UNKNOWN	FALSE	TRUE
159	BND	FALSE	FALSE
160	BND	FALSE	FALSE
161	BND	TRUE	FALSE
164	BND	FALSE	FALSE
165	BND,UNKNOWN	FALSE	FALSE
166	BND	FALSE	FALSE
167	BND	FALSE	FALSE
168	UNKNOWN	FALSE	FALSE
169	UNKNOWN	FALSE	FALSE
170	BND	FALSE	FALSE
171	BND	FALSE	FALSE
172	BND	FALSE	TRUE
173	BND	FALSE	TRUE
176	BND	FALSE	TRUE
177	BND	FALSE	FALSE
178	BND	FALSE	TRUE
179	BND	FALSE	FALSE
180	UNKNOWN	FALSE	FALSE
181	UNKNOWN	FALSE	FALSE
183	BND,UNKNOWN	FALSE	FALSE
185	UNKNOWN	FALSE	FALSE
186	BND	FALSE	FALSE
187	DUP	FALSE	FALSE
188	DUP	TRUE	FALSE
189	UNKNOWN	FALSE	FALSE
190	BND,UNKNOWN	FALSE	FALSE
191	UNKNOWN	FALSE	FALSE
192	UNKNOWN	FALSE	FALSE
194	UNKNOWN	FALSE	FALSE
196	BND	FALSE	FALSE
197	BND	FALSE	TRUE
198	UNKNOWN	FALSE	FALSE
199	UNKNOWN	FALSE	FALSE
200	BND	FALSE	FALSE
201	BND	TRUE	TRUE
202	BND	FALSE	FALSE
203	BND	FALSE	FALSE
204	DEL	FALSE	FALSE
205	BND,DEL	FALSE	FALSE
206	UNKNOWN	TRUE	FALSE
207	UNKNOWN	TRUE	FALSE
208	UNKNOWN	TRUE	FALSE
209	UNKNOWN	FALSE	FALSE
210	UNKNOWN	FALSE	TRUE
211	UNKNOWN	FALSE	FALSE
212	UNKNOWN	FALSE	FALSE
213	UNKNOWN	FALSE	FALSE
214	UNKNOWN	FALSE	FALSE
215	BND	FALSE	FALSE
216	BND	FALSE	FALSE
217	BND	FALSE	FALSE
218	BND	TRUE	FALSE
219	BND	FALSE	FALSE
220	BND	FALSE	FALSE
222	BND	FALSE	FALSE
223	DEL	FALSE	FALSE
224	DEL	FALSE	FALSE
225	INV	FALSE	FALSE
226	INV	FALSE	FALSE
227	BND	FALSE	FALSE
228	BND	FALSE	FALSE
229	BND	FALSE	FALSE
230	BND	FALSE	FALSE
231	DEL	FALSE	FALSE
232	DEL	FALSE	FALSE
233	DUP	FALSE	FALSE
234	DUP	FALSE	FALSE
