chr	pos	w	left_type	right_type	Persistence
chr1	40000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32		gap	30
chr1	880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	1080000	3,4	domain	domain	2
chr1	1320000	3,4,5,6	domain	domain	4
chr1	1640000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	1760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	1920000	3	domain	domain	1
chr1	2080000	4,5,6,7	domain	domain	4
chr1	2200000	3,4	boundary,domain	domain	2
chr1	2400000	3,4,5	domain	domain	3
chr1	2640000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	2760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	3040000	3,4,5	domain	domain	3
chr1	3280000	3	domain	domain	1
chr1	3440000	3,4,5,6,7,8,9,10,11,12,13,14,15,16	domain	boundary,domain	14
chr1	3640000	3	domain	domain	1
chr1	3880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	boundary,domain	domain	25
chr1	4640000	3,4,5,6,7,8,9,10,11,12,13,14	domain	domain	12
chr1	5800000	3,4	domain	domain	2
chr1	5960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	30
chr1	6200000	3,4,5,10,11,14,15,16,17,18,19,20,21,22,23,26,27,29,30,31,32	boundary,domain	boundary,domain	21
chr1	6440000	3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	28
chr1	6560000	7,10	boundary	boundary	2
chr1	6680000	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	domain	29
chr1	7200000	6	domain	domain	1
chr1	7680000	3,4,5,6,7,8,9,10,11,12,14	domain	boundary	11
chr1	7960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	8320000	3,4,5,6,7,8,9,10,11,12,13,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	domain	22
chr1	8880000	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	29
chr1	9120000	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	29
chr1	9240000	3,4,5,6,12,19,21,30,32	boundary,domain	boundary,domain	9
chr1	9480000	3	domain	domain	1
chr1	9600000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	9880000	23,24	boundary	domain	2
chr1	10360000	3	domain	domain	1
chr1	10480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	11000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	11240000	3,4,5,6,7,8,9,21,22,23,24,25,26,27,28,29,30,31,32	boundary	domain	19
chr1	11640000	3,4,5,6,7,8	domain	boundary,domain	6
chr1	11800000	3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25	boundary,domain	boundary,domain	21
chr1	12040000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	boundary,domain	boundary,domain	17
chr1	12200000	3,4,5,6,7,8,9,10,13	boundary	domain	9
chr1	12680000	3	domain	domain	1
chr1	12840000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	13360000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	13640000	3,4,5	domain	domain	3
chr1	13840000	3	domain	domain	1
chr1	14000000	3,4,5,6,7,8,9,10,11,12,13,14,15	domain	domain	13
chr1	14720000	3	domain	domain	1
chr1	14920000	13,15,16,17	domain	boundary	4
chr1	15120000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	15320000	3,4,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	boundary,domain	boundary,domain	22
chr1	15520000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	boundary,domain	boundary,domain	21
chr1	15760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	boundary,domain	domain	15
chr1	16040000	3,4,5,6,7,8,9	domain	domain	7
chr1	16240000	3,4	domain	domain	2
chr1	16480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	16920000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	17080000	3	domain	domain	1
chr1	17400000	3,4,5,6,7,8,9,10,11	domain	domain	9
chr1	17680000	3,4,5,6,7,8,9,10,16,17	domain	domain	10
chr1	18040000	3,4	domain	domain	2
chr1	18240000	3,4,5	domain	domain	3
chr1	18600000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,24,29,30	domain	boundary,domain	22
chr1	18880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	19120000	3,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	25
chr1	19280000	3,4,5,6,7,8,9,10,11,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	domain	25
chr1	19720000	3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31	domain	boundary,domain	27
chr1	19880000	3,4,5,6,7,9,10,11,12,13,14,15,16,17,19,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	domain	26
chr1	20200000	4,5,6,25	domain	domain	4
chr1	20520000	3,4,5,6,7,8,9,10,11,12,13,14,17,20,21	domain	boundary,domain	15
chr1	20640000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	boundary,domain	domain	16
chr1	21200000	3,4	domain	domain	2
chr1	21400000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	21440000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	21680000	3,4,5	domain	domain	3
chr1	22000000	3,4,5,6,7,8,9,10,11,12,13,14	domain	domain	12
chr1	22400000	4,5,6	domain	domain	3
chr1	22640000	3,4,5,6,7,8	domain	domain	6
chr1	23000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary	30
chr1	23320000	4,5,7,14,15,17,18,21,22,23,24,25,27,28,29,30,32	boundary,domain	boundary	17
chr1	23520000	4,5,6,7,9,10,11,18,19,26,28	boundary,domain	boundary,domain	11
chr1	23720000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	domain	30
chr1	23880000	12	boundary	boundary	1
chr1	24040000	3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30	boundary,domain	boundary,domain	25
chr1	24120000	7,10	boundary,domain	domain	2
chr1	24200000	3,4	domain	domain	2
chr1	24400000	3,4,5,20	domain	domain	4
chr1	24640000	3,4,5,6,7,8,9,10,11,12,13,14,15	domain	domain	13
chr1	24840000	3,4,5,6,7,8	domain	domain	6
chr1	25280000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	25400000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	25600000	4	domain	domain	1
chr1	25840000	3,4,5,6,7,8,9,10	domain	boundary,domain	8
chr1	26040000	3,4,5,6,7,8,9,12,13,14,15	boundary,domain	boundary,domain	11
chr1	26160000	13,14,16,18	boundary,domain	boundary,domain	4
chr1	26480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26	boundary,domain	boundary,domain	24
chr1	26800000	3	domain	domain	1
chr1	26960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	27280000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	boundary,domain	boundary,domain	19
chr1	27400000	10,21	boundary	domain	2
chr1	27600000	3	domain	boundary	1
chr1	27720000	3,4,5,6,7,8,9,10,11	domain	domain	9
chr1	27840000	3,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	22
chr1	28040000	4,11,12,13,14,15,16,19,22,24,25,26,27,31	boundary,domain	boundary,domain	14
chr1	28240000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	28480000	15,16,17,18,19,20,22,23,24,25,27,29	boundary,domain	boundary,domain	12
chr1	28640000	26,29,30,32	boundary	boundary	4
chr1	28760000	9,10,20,21,22,23,24,25,26,27,28,31,32	boundary,domain	boundary,domain	13
chr1	28880000	3,4,5,6,19,20,21,22,23,24,25,26,27,28,31,32	boundary,domain	boundary,domain	16
chr1	29200000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary	domain	30
chr1	29480000	3	domain	domain	1
chr1	30120000	4	domain	domain	1
chr1	30360000	4,5	domain	domain	2
chr1	30720000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	30
chr1	30920000	3,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	25
chr1	31160000	3,4,5,6,7,8,9,10,11,12,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	25
chr1	31440000	14	domain	boundary	1
chr1	31560000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	31800000	3,4,17,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	12
chr1	32080000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	32400000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	32640000	3,4,19	boundary,domain	boundary,domain	3
chr1	32880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	33120000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	33520000	3,4,5,6,7,8,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	26
chr1	33640000	3,4,5,6,7,8,9,10,11,12,13,16,17,18	boundary,domain	domain	14
chr1	34160000	5,6	domain	domain	2
chr1	34760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	domain	30
chr1	35320000	25,26,27,28	boundary	domain	4
chr1	35440000	4,5	domain	domain	2
chr1	35840000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	domain	boundary,domain	25
chr1	36080000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	36320000	3	domain	domain	1
chr1	36480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	domain	30
chr1	36680000	3,4	domain	domain	2
chr1	37440000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	domain	boundary,domain	21
chr1	37520000	23	boundary	domain	1
chr1	37720000	3,7,9,10,11,14,15,16,22,23,25	domain	boundary,domain	11
chr1	37800000	3,4,5,17,20,21,22,23,24,25,26,27,28	boundary,domain	boundary,domain	13
chr1	37880000	12,13,18,19,27,28,29,30,31,32	boundary,domain	boundary,domain	10
chr1	38000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20	boundary	domain	17
chr1	38880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,27,30,31	domain	boundary,domain	23
chr1	39000000	8,10,23,24	boundary,domain	domain	4
chr1	39080000	3,4,5,6,7,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	13
chr1	39600000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32	boundary,domain	boundary	29
chr1	39760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	40040000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	40560000	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	29
chr1	40840000	3,12,13,14,15,16,17,18,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	19
chr1	41000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
