chr	from.id	from.coord	to.id	to.coord	tag	size
chrY	1	2760000	8	3080000	domain	320000
chrY	9	3080000	99	6720000	gap	3640000
chrY	100	6720000	120	7560000	domain	840000
chrY	121	7560000	122	7640000	gap	80000
chrY	123	7640000	157	9040000	domain	1400000
chrY	158	9040000	159	9120000	gap	80000
chrY	160	9120000	164	9320000	domain	200000
chrY	165	9320000	179	9920000	gap	600000
chrY	180	9920000	186	10200000	domain	280000
chrY	187	10200000	200	10760000	gap	560000
chrY	201	10760000	209	11120000	domain	360000
chrY	210	11120000	213	11280000	gap	160000
chrY	214	11280000	218	11480000	domain	200000
chrY	219	11480000	225	11760000	gap	280000
chrY	226	11760000	247	12640000	domain	880000
chrY	248	12640000	252	12840000	boundary	200000
chrY	253	12840000	281	14000000	domain	1160000
chrY	282	14000000	282	14040000	gap	40000
chrY	283	14040000	335	16160000	domain	2120000
chrY	336	16160000	342	16440000	gap	280000
chrY	343	16440000	367	17440000	domain	1000000
chrY	368	17440000	403	18880000	gap	1440000
chrY	404	18880000	432	20040000	domain	1160000
chrY	433	20040000	440	20360000	gap	320000
chrY	441	20360000	468	21480000	domain	1120000
chrY	469	21480000	470	21560000	gap	80000
chrY	471	21560000	474	21720000	domain	160000
chrY	475	21720000	486	22200000	gap	480000
chrY	487	22200000	490	22360000	domain	160000
chrY	491	22360000	589	26320000	gap	3960000
chrY	590	26320000	597	26640000	domain	320000
chrY	598	26640000	1354	56920000	gap	30280000
