chr	pos	w	left_type	right_type	Persistence
chr1	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32		gap	30
chr1	760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	boundary,domain	30
chr1	960000	3,4	domain	domain	2
chr1	1080000	3	domain	domain	1
chr1	1360000	3,4,5,6,7,8,9,10,11,13	boundary,domain	boundary	10
chr1	1520000	3,4,8,14	boundary,domain	boundary,domain	4
chr1	1640000	5,6,9,16	boundary,domain	boundary,domain	4
chr1	1760000	3,9,12,18,19,20	boundary,domain	boundary,domain	6
chr1	1920000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	boundary,domain	boundary,domain	17
chr1	2160000	3,4,5,10	boundary,domain	domain	4
chr1	2400000	3,4,5,6,7	domain	domain	5
chr1	2720000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	2760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	3440000	3,4,5,6,7,8,9,10,11,12,13,14,15,16	domain	domain	14
chr1	3760000	3	domain	domain	1
chr1	3920000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	domain	domain	15
chr1	4840000	3	domain	domain	1
chr1	5400000	3,4,5	domain	domain	3
chr1	5480000	19,20	domain	boundary	2
chr1	5920000	6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	27
chr1	6200000	5,9,10,11,12,14,15,16,17,18	boundary,domain	domain	10
chr1	6480000	3,4,5,6,9,10,11,12,13,14,16,17,18,21,22	domain	boundary,domain	15
chr1	6680000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	boundary,domain	boundary,domain	25
chr1	6920000	3,16,17,18,19	boundary,domain	domain	5
chr1	7200000	3	domain	domain	1
chr1	7640000	3,4,5,6,7,8,9,10,11,15,16	domain	boundary,domain	11
chr1	7760000	10,11,12,13,14,15,16,19,20,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	20
chr1	7960000	3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	29
chr1	8360000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	8520000	3,13	boundary	domain	2
chr1	8720000	3	domain	domain	1
chr1	8880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	9120000	16	boundary	boundary	1
chr1	9240000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	9560000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	9720000	10,11,12,13,14,23	boundary	boundary,domain	6
chr1	9880000	3,6,7,8,9,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	24
chr1	10040000	26,27,31	boundary	boundary,domain	3
chr1	10480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	11000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	domain	30
chr1	11320000	3,4,5,6	domain	domain	4
chr1	11640000	3,4,5,6,7	domain	boundary,domain	5
chr1	11760000	3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	boundary,domain	boundary,domain	28
chr1	11920000	7,9,10,11,13,14,15,16,17	boundary	boundary	9
chr1	12000000	4,16	boundary,domain	boundary,domain	2
chr1	12080000	5,6,7,8,9,12,18,19,20,21,22,23,24,25	boundary	boundary,domain	14
chr1	12240000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	boundary,domain	domain	19
chr1	12720000	3,4,6,7	domain	domain	4
chr1	12960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	13160000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	13600000	3,4,5,6	domain	domain	4
chr1	13840000	3,4	domain	domain	2
chr1	14000000	3,4,5,6,7,8,9,10,11,12,13	domain	domain	11
chr1	14600000	3,4,5	domain	domain	3
chr1	15080000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	30
chr1	15320000	3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	28
chr1	15520000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	15760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	domain	30
chr1	16080000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26	domain	boundary,domain	24
chr1	16240000	3,10	boundary,domain	domain	2
chr1	16360000	3	domain	domain	1
