Protein Group	Gene	Protein name	CPCG0268	CPCG0366	CPCG0255	CPCG0258	CPCG0324	CPCG0246	CPCG0342	CPCG0336	CPCG0339	CPCG0331	CPCG0346	CPCG0365	CPCG0345
A0AV96;A0AV96-2	RBM47	RNA-binding protein 47	27.72247786	28.41710597	28.07751977	28.42831083	28.9436254	28.09959839	28.68094113	28.26006025	28.86750214	28.98074229	28.71643167	28.6200703	28.51977057
A0AVT1;A0AVT1-2;A0AVT1-3;A0AVT1-4	UBA6	Ubiquitin-like modifier-activating enzyme 6	29.52235291	29.52336537	29.65639449	29.34860312	29.78716931	29.73619667	29.08296973	29.75027773	29.86139299	29.42611023	29.55397416	28.84962392	28.90125671
A0FGR8-2;A0FGR8;A0FGR8-4;A0FGR8-5	ESYT2	Extended synaptotagmin-2	27.63432179	28.06791814	27.39050635	27.78407986	28.5156322	28.30997011	28.32838284	27.89284867	28.52338068	27.65489056	28.72096803	27.52455435	28.36800753
A0FGR8-6	ESYT2	Extended synaptotagmin-2	19.05595548	20.65614181	NA	20.31228481	23.34685303	NA	24.26507096	20.01463706	19.92695366	23.30888513	20.82537897	NA	23.9331633
A0JLT2-2;A0JLT2	MED19	Mediator of RNA polymerase II transcription subunit 19	18.6549806	16.70648069	17.6222051	16.86166047	13.96355802	15.89621236	17.10389921	17.98456395	18.62323412	NA	18.9785034	17.8031179	NA
A0JNW5;A0JNW5-2	UHRF1BP1L	UHRF1-binding protein 1-like	20.2070791	20.18634474	NA	NA	12.78287822	12.15254677	NA	NA	21.39658904	15.24053461	16.84158208	20.67580625	NA
A0M8Q6	IGLC7	Ig lambda-7 chain C region	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.37876044	NA	NA	NA
A0MZ66;A0MZ66-3;A0MZ66-6;A0MZ66-4;A0MZ66-2;A0MZ66-7	KIAA1598	Shootin-1	27.788035	28.92115038	28.65936915	28.34337944	28.44778273	28.86222628	28.34730713	27.58948239	27.56442448	29.16575465	28.67030386	28.38447883	28.39609282
A0PK00	TMEM120B	Transmembrane protein 120B	10.06262933	12.31487969	NA	11.42995448	NA	NA	9.027813301	9.342455985	12.28386171	NA	9.879406044	11.40198438	14.92476853
A1A4S6	ARHGAP10	Rho GTPase-activating protein 10	25.01527345	23.02065805	24.3493054	24.18738664	25.65964226	24.30504744	21.45354158	24.93064096	18.9884784	24.16814137	21.13696303	24.9959732	22.68795082
A1IGU5	ARHGEF37	Rho guanine nucleotide exchange factor 37	25.57579921	23.666163	25.05958849	25.5174844	24.68437308	25.12343138	24.96797786	23.75290001	24.51756173	24.68256963	23.54258262	24.2737729	23.85709429
A1L0T0	ILVBL	Acetolactate synthase-like protein	28.17183232	28.15304583	27.24072621	26.65474973	27.6236736	28.01459583	28.07003306	27.50055956	27.36741261	26.89875024	27.02405195	26.92767866	27.56381326
A1L3X0	ELOVL7	Elongation of very long chain fatty acids protein 7	23.88270491	25.01288022	25.39560632	24.40774769	24.59136954	24.06181334	NA	23.71326312	24.27461814	19.33665115	24.12003211	24.87836104	24.02445042
A1L4H1;A1L4H1-2	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	22.68955686	23.61239197	23.11879771	24.03815648	24.2943789	24.10025084	26.33384914	22.52314374	24.6153647	18.10222565	27.24894063	19.29257933	24.81199509
A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	25.92415702	23.62178896	23.84385897	24.8281157	23.73688776	25.50441054	22.17247726	23.21622193	19.16205427	24.33297134	22.51002222	23.67243163	25.44753485
A1Z1Q3-2;A1Z1Q3	MACROD2	O-acetyl-ADP-ribose deacetylase MACROD2	24.21963306	22.0381836	23.53336812	24.99961864	24.93770256	24.54125296	25.85319254	28.92318384	28.3664606	23.83161809	23.15898915	22.50583973	24.37693234
A2RRP1;A2RRP1-2	NBAS	Neuroblastoma-amplified sequence	26.2958421	26.47282801	25.72646519	25.97225595	26.05813332	26.92572986	24.33561921	26.24456108	26.99079706	26.38997464	25.99806682	25.40645462	25.53066647
A2RTX5;A2RTX5-2	TARSL2	"Probable threonine--tRNA ligase 2, cytoplasmic"	19.01562453	25.48363432	18.98981618	24.8834653	23.02867161	NA	23.00586729	23.6925482	13.23084214	23.20801165	18.06730584	21.57023279	19.66456326
A2RU48	SMCO3	Single-pass membrane and coiled-coil domain-containing protein 3	23.86577071	22.01612361	NA	24.38903666	NA	NA	NA	NA	28.23936913	18.83906573	25.98501385	NA	NA
A2RU67	KIAA1467	Uncharacterized protein KIAA1467	18.37273932	19.00727458	NA	18.3675271	13.83010014	17.24335035	17.58157313	17.22574449	20.96318122	NA	NA	18.75331573	NA
A2RUS2-2;A2RUS2	DENND3	DENN domain-containing protein 3	NA	22.40922278	21.84307843	NA	NA	NA	NA	NA	NA	NA	NA	18.35802778	17.55155945
A3KMH1-3;A3KMH1;A3KMH1-2	VWA8	von Willebrand factor A domain-containing protein 8	22.74041846	22.51057285	22.75135385	22.86860266	22.8422354	24.56697442	24.51000037	23.78559062	23.70464411	24.50825625	22.53557879	22.77399211	21.82672208
A3KN83-3;A3KN83-2;A3KN83;A3KN83-4	SBNO1	Protein strawberry notch homolog 1	12.48086599	14.8593109	13.71536508	13.80877725	19.98171143	20.93797862	13.45433952	17.13784002	14.56878281	NA	16.42996432	15.67840933	14.7623196
Q5TYW8;A3QJZ6	PRAMEF3;PRAMEF22	PRAME family member 3;PRAME family member 22	20.94685586	15.2080196	19.06927069	24.20618143	37.03437788	NA	20.19798115	18.96585161	24.3243526	22.26935243	20.29433717	25.67968364	23.84389771
A4D126;A4D126-2	ISPD	Isoprenoid synthase domain-containing protein	15.32978934	NA	NA	NA	NA	NA	NA	NA	11.50913121	NA	16.35554467	14.84781517	NA
A4D1E9;A4D1E9-2	GTPBP10	GTP-binding protein 10	23.13265778	22.83818671	25.08680803	24.03538814	24.76089263	23.91246315	15.65987317	25.40640655	25.04818716	26.70641533	24.69811438	21.26544624	24.12664699
A4D1P6;A4D1P6-2;A4D1P6-3	WDR91	WD repeat-containing protein 91	23.34857508	23.76672593	23.67750573	22.96593351	23.91803682	24.17299002	19.92973261	23.30447334	22.46596343	22.2356785	23.77460804	23.35195574	23.91145943
A4D1S5;A4D1S5-2	RAB19	Ras-related protein Rab-19	NA	19.43433867	20.44657263	19.80223088	19.05719796	21.10738352	21.70748839	NA	21.95546415	NA	21.19702465	NA	29.59751372
A4D1U4	LCHN	Protein LCHN	NA	22.66492438	22.30371056	20.57156887	15.2876441	19.72200361	22.61628205	NA	21.91696922	28.0325676	22.83094482	22.96234331	18.19645686
A4D2B0	MBLAC1	Metallo-beta-lactamase domain-containing protein 1	21.76835018	NA	19.97650461	20.32547367	25.77718176	26.52179408	22.16980778	21.60572351	NA	20.16599814	21.29672107	21.14482607	NA
A5D8V6	VPS37C	Vacuolar protein sorting-associated protein 37C	26.74708118	25.85686422	27.70105325	27.20824905	22.88893022	21.83521115	26.42848158	24.62222973	27.48283716	NA	NA	27.69322377	24.98125225
A5PLN9-2;A5PLN9-4;A5PLN9;A5PLN9-5;A5PLN9-7	TRAPPC13	Trafficking protein particle complex subunit 13	22.67297262	22.66699331	24.91946154	24.00776906	25.57230305	26.27601877	23.00420947	21.73040862	24.37379766	24.66922768	23.76914255	23.04789645	24.39182495
A5YKK6;A5YKK6-2;A5YKK6-3;A5YKK6-4	CNOT1	CCR4-NOT transcription complex subunit 1	28.4321559	28.21322675	28.13340436	28.30383093	28.62520765	28.74324696	27.54956405	28.62077771	28.30289162	28.00888804	28.1932891	27.81453723	27.8452036
Q9GZQ8;A6NCE7	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	27.42831529	26.78708354	27.5589	24.782896	27.3574357	26.97861678	27.32774378	27.04903268	27.82678352	26.37097182	26.35255074	26.46660231	26.56015145
A6NCS6	C2orf72	Uncharacterized protein C2orf72	20.87080188	22.38178074	23.69243523	22.56340051	NA	22.25567355	20.21918968	23.80083683	27.95243584	23.53244339	17.42680983	24.96024311	23.90453459
A6NDG6	PGP	Phosphoglycolate phosphatase	23.85895561	26.70164818	25.10941381	22.28335233	25.90301308	24.42164167	25.86617172	24.29220922	22.85974465	24.61447802	27.3241066	22.77424674	23.50382714
A6NDU8	C5orf51	UPF0600 protein C5orf51	27.12789684	25.86168086	26.12349951	24.37384681	26.52511153	22.23821628	23.1706039	26.09891717	25.11047009	26.38346432	25.05072311	26.31172073	26.24297502
A6NED2	RCCD1	RCC1 domain-containing protein 1	NA	NA	NA	NA	8.58197382	7.945855508	NA	NA	NA	NA	NA	NA	NA
A6NFQ2-3;A6NFQ2;A6NFQ2-2	TCAF2	TRPM8 channel-associated factor 2	NA	22.15529563	NA	NA	NA	11.46898757	NA	NA	NA	NA	NA	NA	NA
A6NHL2-2;A6NHL2	TUBAL3	Tubulin alpha chain-like 3	NA	29.83750776	28.68989263	NA	19.46292836	NA	29.1710499	30.1492685	NA	NA	NA	NA	25.62764629
A6NHQ2	FBLL1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	23.26136996	23.99959633	25.03136462	24.42374271	27.14497103	23.03347081	23.21167039	27.61242662	23.10640719	26.79969601	24.56346817	21.89708676	25.97456451
