chr	pos	w	left_type	right_type	Persistence
chr1	80000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20		gap	18
chr1	880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	gap	domain	18
chr1	1320000	3,4,5,6,7	domain	domain	5
chr1	1640000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	gap	18
chr1	1760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	gap	domain	18
chr1	1920000	3	domain	domain	1
chr1	2080000	7	domain	domain	1
chr1	2160000	3,4,5,9	domain	domain	4
chr1	2400000	3,4,5	domain	domain	3
chr1	2640000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	gap	18
chr1	2760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	gap	domain	18
chr1	3480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	domain	boundary	15
chr1	3920000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	domain	18
chr1	4080000	3	domain	domain	1
chr1	4640000	3,4,5,6,7,8,9,10,11,12	domain	domain	10
chr1	4840000	3,4,6	domain	domain	3
chr1	4960000	5,6	domain	domain	2
chr1	5480000	3,4,5,6,7,8,9,10,11,12,13,14,15,17	domain	boundary,domain	14
chr1	5640000	20	domain	boundary	1
chr1	5760000	3	domain	domain	1
chr1	6000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	18
chr1	6240000	3,4,5,9,10,17,18,19	boundary,domain	boundary,domain	8
chr1	6440000	3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20	boundary	boundary,domain	17
chr1	6680000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	boundary,domain	domain	17
chr1	7240000	3,4	domain	domain	2
chr1	7640000	3,4,5,6,7	domain	boundary,domain	5
chr1	7800000	3,7,8,10,11,12,13,16,17	boundary,domain	boundary,domain	9
chr1	7960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	18
chr1	8360000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	domain	18
chr1	8720000	3	domain	domain	1
chr1	8880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	boundary,domain	18
chr1	9120000	3,4,5,6,8,9,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	15
chr1	9240000	3,4,5,6,8,9,13	boundary,domain	domain	7
chr1	9480000	3,4	domain	boundary,domain	2
chr1	9600000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	18
chr1	9880000	3,4,5,6,7,12,13,14,15,16,17,18,19,20	boundary	domain	14
chr1	10160000	15,16,17,19,20	domain	boundary	5
chr1	10480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	domain	18
chr1	11000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	domain	18
chr1	11240000	3,4,5,6,7,8	domain	domain	6
chr1	11640000	3,4,5,6,7	domain	boundary,domain	5
chr1	11800000	3,4,5,7,8,9,10,12,13,14	boundary,domain	boundary,domain	10
chr1	12000000	3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19	boundary,domain	boundary,domain	16
chr1	12240000	3,4,5,6,7,8,9,10,11	boundary	domain	9
chr1	12800000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	gap	18
chr1	13360000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	gap	domain	18
chr1	13640000	3,4,5,6	domain	domain	4
chr1	13960000	3,4,5,6,7,8,9,10,11,12,13,14	domain	domain	12
chr1	14560000	4	domain	domain	1
chr1	14840000	3	domain	domain	1
chr1	14920000	14	domain	boundary	1
chr1	15120000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	18
chr1	15320000	3,4,10,11,13,14,15,16,20	boundary,domain	boundary,domain	9
chr1	15520000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	18
chr1	15760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	boundary,domain	domain	16
chr1	16040000	3,4,5,6,7,8,9,10	domain	domain	8
chr1	16240000	3,4,5,6	domain	domain	4
chr1	16360000	3	domain	domain	1
chr1	16520000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	gap	18
chr1	16880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	gap	domain	18
chr1	17040000	3	domain	domain	1
chr1	17440000	3,4,5,6,7,8,9,10,11	domain	domain	9
chr1	17680000	3,4,5,6,7,8,9,10,11,12	domain	domain	10
chr1	18120000	3,4,5,6	domain	domain	4
chr1	18600000	3,4,5,6,7,8,9,10,11,12,13,14,15,17	domain	boundary,domain	14
chr1	18880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	18
chr1	19080000	3,4,10,11,12,13,14,15,18,19,20	boundary,domain	domain	11
chr1	19280000	3,4,5,6,7,8,9	boundary,domain	domain	7
chr1	19720000	3,4,5,6,7,8,9,12,13,14,17,18,19,20	domain	boundary,domain	14
chr1	19880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	domain	18
chr1	20200000	3,4,5,6,7	domain	domain	5
chr1	20520000	3,4,5,6,10,11	domain	boundary,domain	6
chr1	20680000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	domain	18
chr1	21240000	3,4,5,6,7,8,9,10,11,12,13	domain	domain	11
chr1	21360000	3,12,13,14,15	domain	boundary,domain	5
chr1	21600000	8,9	domain	boundary,domain	2
chr1	21680000	3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	17
chr1	22040000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	domain	18
chr1	22400000	3,4,5,6	domain	domain	4
chr1	22640000	3,4,5,6,7,8,14,15,16,17	domain	domain	10
chr1	22960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	boundary,domain	18
chr1	23320000	4,5,6,10,11,13,14,16,18	boundary,domain	boundary	9
chr1	23480000	3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	17
chr1	23720000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	domain	18
chr1	23920000	17,19,20	boundary	boundary,domain	3
chr1	24040000	8,9,10,11,12,13,14,15,16,18	boundary,domain	boundary,domain	10
chr1	24160000	3,4,5,6,7,8	boundary,domain	domain	6
chr1	24400000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	domain	18
chr1	24640000	3,4,5,6,7,8,9,10,11,12,13,14,15	domain	domain	13
chr1	24840000	3,4,5,6,7,8,9,10	domain	domain	8
chr1	25280000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	gap	18
chr1	25400000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	gap	domain	18
chr1	25560000	3	domain	domain	1
chr1	25840000	3,4,5,6,7,8,9,10	domain	boundary,domain	8
chr1	26000000	3,4,5,7,8,9,10,11,12,13,14	boundary,domain	boundary,domain	11
chr1	26160000	3,6,7,12,13,14,16,17	boundary,domain	boundary,domain	8
chr1	26440000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	18
chr1	26800000	3	domain	domain	1
chr1	26920000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	18
chr1	27280000	3,4,5,6,7,8,9,10	domain	boundary,domain	8
chr1	27400000	3,4,5,9,10,11,20	boundary,domain	domain	7
chr1	27720000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	boundary,domain	18
chr1	27840000	15	boundary	boundary	1
chr1	28040000	4,14,15	boundary,domain	boundary,domain	3
chr1	28240000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	18
chr1	28640000	3,4,5,6,7,8,9,17	boundary,domain	domain	8
chr1	28760000	19,20	boundary	boundary,domain	2
chr1	28880000	3,4,5,6	domain	domain	4
chr1	29240000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	domain	18
chr1	29480000	5	domain	domain	1
chr1	29760000	4	domain	domain	1
chr1	30160000	3	domain	domain	1
chr1	30360000	4,5	domain	domain	2
chr1	30720000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	domain	boundary,domain	18
chr1	30920000	3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary,domain	boundary,domain	16
chr1	31080000	7	domain	domain	1
