target_id	gene_name	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	chr	start	end	strand
ENSG00000070756.16	PABPC1	17	83.9036522884352	0	0	chr8	100685816	100722809	-
ENSG00000110321.17	EIF4G2	23	92.3808445880286	0	0	chr11	10797050	10808940	-
ENSG00000122786.20	CALD1	20	86.9045893857683	0	0	chr7	134744252	134970729	+
ENSG00000243716.10	NPIPB5	17	94.646232258916	1.11288916862546e-308	3.37322034460235e-308	chr16	22479121	22536521	+
ENSG00000109339.24	MAPK10	69	192.605747450248	4.965333997683e-252	1.90202084115245e-248	chr4	85990007	86594625	-
ENSG00000138674.17	SEC31A	38	141.415828008536	9.59808810833795e-228	3.06386969231661e-224	chr4	82818509	82901166	-
ENSG00000131051.24	RBM39	38	161.092175999758	1.04393074069056e-211	2.85634363949233e-208	chr20	35701347	35742312	-
ENSG00000169398.19	PTK2	47	154.516276203202	6.76515932623417e-199	1.61966370719204e-195	chr8	140657900	141002216	-
ENSG00000156508.18	EEF1A1	11	85.1657278263662	8.79303987713296e-199	1.87125658629697e-195	chr6	73515750	73523797	-
ENSG00000141279.16	NPEPPS	18	72.2751258885763	5.12888265840631e-194	9.8233489556456e-191	chr17	47522942	47623276	+
ENSG00000185864.16	NPIPB4	16	73.7629841508571	1.49867268457635e-191	2.60946162979007e-188	chr16	21834569	21880827	-
ENSG00000114861.21	FOXP1	51	210.708592636071	2.72720081955877e-190	4.35283977475075e-187	chr3	70952817	71583993	-
ENSG00000133835.16	HSD17B4	28	104.133448590448	3.85132869478528e-184	5.6741921916325e-181	chr5	119452473	119637199	+
ENSG00000270188.1	MTRNR2L11	1	10.4344159803872	1.40305737647175e-177	1.91948270939738e-174	chr1	237943724	237945275	-
ENSG00000157388.19	CACNA1D	24	88.4435866574796	7.45763945092839e-174	9.52241122690876e-171	chr3	53328963	53813733	+
ENSG00000203812.2	H2AC18	1	6.02430412922716	1.04640820055591e-170	1.25261601657796e-167	chr1	149842188	149842736	-
ENSG00000204120.14	GIGYF2	33	102.161950993181	3.27202003123341e-168	3.6864117446008e-165	chr2	232697299	232860575	+
ENSG00000183889.12	AC138969.1	11	55.3675307237795	2.45559044379739e-166	2.61288465389174e-163	chr16	16317444	16350590	+
ENSG00000196628.18	TCF4	41	125.747764491157	1.59130297638127e-163	1.60411715298055e-160	chr18	55222185	55664787	-
ENSG00000142599.19	RERE	16	78.2802757306891	4.69409607683628e-163	4.49530110798227e-160	chr1	8352397	8848921	-
ENSG00000160551.11	TAOK1	5	30.8016240464262	1.10718516374523e-161	1.00980559243868e-158	chr17	29390464	29551904	+
ENSG00000237094.12	AL732372.2	17	81.0257856145414	1.13999253722712e-153	9.92467139341411e-151	chr1	365389	522928	-
ENSG00000110422.12	HIPK3	6	32.6195632215543	5.79893340519872e-153	4.82899876129439e-150	chr11	33256672	33357023	+
ENSG00000147996.16	CBWD5	21	80.2529241183256	1.75446546608104e-150	1.40013654466042e-147	chr9	65668805	65734041	+
