chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr22	47631709	47632210	501	*	5.86	6.7	-0.54	7.24	5.15e-22	1.07e-17	5
chr22	47850884	47851385	501	*	5.41	6.17	2.56	3.61	5.85e-22	1.07e-17	6
chr17	57845736	57846237	501	*	5.8	3.78	6.75	-2.97	1.03e-21	1.61e-17	7
chr13	113019475	113019976	501	*	5.83	6.59	2.92	3.67	4.2e-19	2.7e-15	17
chr17	57684752	57685253	501	*	5.26	5.96	3.09	2.87	1.35e-18	6.41e-15	23
chr22	48489986	48490487	501	*	6.46	7.1	4.74	2.36	5.23e-17	1.74e-13	32
chr15	101642348	101642849	501	*	5.5	6.18	3.49	2.69	4.02e-16	9.97e-13	44
chr13	23873183	23873684	501	*	4.31	0.59	5.42	-4.83	1.33e-15	3.03e-12	48
chr9	113594396	113594897	501	*	7.32	7.8	6.34	1.46	2.17e-15	4.74e-12	50
chr13	23876133	23876634	501	*	4.35	1.56	5.39	-3.84	7.98e-15	1.56e-11	56
chr2	109144618	109145119	501	*	5	5.71	2.65	3.06	1.97e-14	3.21e-11	66
chr1	159889520	159890021	501	*	6.36	6.9	5.15	1.75	1.97e-14	3.21e-11	67
chr9	113650465	113650966	501	*	6.24	6.82	4.84	1.98	2.58e-14	4.14e-11	68
chr5	141951275	141951776	501	*	4.94	5.64	2.72	2.92	2.99e-14	4.66e-11	70
chr3	9309166	9309667	501	*	5.46	6.12	3.59	2.52	3.63e-14	5.36e-11	74
chr12	130045293	130045794	501	*	6.43	7.06	4.74	2.33	4.4e-14	6.24e-11	77
chr3	196996447	196996948	501	*	5.65	6.33	3.69	2.63	5.23e-14	7.32e-11	78
chr17	4639164	4639665	501	*	5.79	6.45	3.9	2.55	6.57e-14	9.09e-11	79
chr19	19012472	19012973	501	*	4.67	5.39	2.27	3.12	9.06e-14	1.15e-10	86
chr13	23850543	23851044	501	*	4.54	2.12	5.56	-3.44	1.81e-13	2.11e-10	94
chr22	37291262	37291763	501	*	4.77	5.53	1.95	3.57	2.27e-13	2.52e-10	98
chr13	42115317	42115818	501	*	5.25	5.94	3.21	2.72	2.49e-13	2.69e-10	101
chr19	30214351	30214852	501	*	5.15	5.87	2.82	3.04	3.38e-13	3.45e-10	107
chr18	57583430	57583931	501	*	5.09	3.65	5.93	-2.28	3.88e-13	3.89e-10	109
chr22	37287353	37287854	501	*	5.01	5.7	2.94	2.76	4.56e-13	4.4e-10	113
chr1	2403187	2403688	501	*	4.51	5.29	1.27	4.03	7.74e-13	6.88e-10	123
chr14	26401132	26401633	501	*	4.24	5.03	0.91	4.12	1.41e-12	1.21e-09	128
chr13	23856155	23856656	501	*	4.45	2.02	5.46	-3.44	1.56e-12	1.32e-09	129
chr19	34119201	34119702	501	*	4.13	4.94	-0.25	5.19	1.81e-12	1.51e-09	131
chr1	41981180	41981681	501	*	4.64	5.38	1.88	3.5	1.87e-12	1.55e-09	132
chr13	110816024	110816525	501	*	6.02	6.55	4.85	1.7	1.93e-12	1.57e-09	134
chr16	29797128	29797629	501	*	4.9	3.55	5.72	-2.17	2.03e-12	1.65e-09	135
chr11	19577171	19577672	501	*	6.19	6.71	5.04	1.67	2.66e-12	2.07e-09	140
chr3	49461549	49462050	501	*	6.23	6.78	4.99	1.79	2.68e-12	2.07e-09	141
chr9	89556064	89556565	501	*	5.28	5.99	2.99	2.99	3.93e-12	2.86e-09	150
chr3	128555270	128555771	501	*	6.04	6.64	4.53	2.11	5.49e-12	3.81e-09	157
chr12	121678859	121679360	501	*	4.95	5.6	3.16	2.44	5.82e-12	3.98e-09	160
chr4	3121983	3122484	501	*	5.44	6.03	3.98	2.05	7.05e-12	4.78e-09	161
chr13	23884556	23885057	501	*	4	-0.69	5.14	-5.82	8.28e-12	5.39e-09	168
chr22	19615035	19615536	501	*	5.29	5.94	3.49	2.45	8.74e-12	5.65e-09	169
chr7	12619338	12619839	501	*	5.02	3.31	5.93	-2.61	1.03e-11	6.48e-09	174
chr6	1619662	1620163	501	*	5.26	5.88	3.69	2.19	1.09e-11	6.81e-09	175
chr22	48488929	48489430	501	*	5.02	5.73	2.7	3.03	1.23e-11	7.51e-09	179
chr6	145195974	145196475	501	*	5.54	4.25	6.34	-2.09	1.52e-11	9.16e-09	181
chr4	185600722	185601223	501	*	5.1	5.72	3.49	2.23	1.83e-11	1.05e-08	189
chr6	1621194	1621695	501	*	4.56	5.22	2.68	2.54	1.84e-11	1.06e-08	191
chr15	89874170	89874671	501	*	4.7	3.01	5.59	-2.58	1.87e-11	1.06e-08	192
chr3	156810550	156811051	501	*	4.32	5.05	1.8	3.25	1.93e-11	1.09e-08	193
chr20	62784196	62784697	501	*	4.31	5.08	1.38	3.7	2.37e-11	1.32e-08	196
chr20	61873932	61874855	923	*	4.96	5.66	2.73	2.93	2.59e-11	1.42e-08	199
chr17	57843381	57843882	501	*	4.79	2.58	5.77	-3.19	2.64e-11	1.43e-08	202
chr5	175444440	175444941	501	*	5.63	6.24	4.08	2.16	3.48e-11	1.82e-08	208
chr15	72726747	72727248	501	*	5.16	3.67	6.02	-2.34	3.68e-11	1.9e-08	211
chr17	57840783	57841284	501	*	5.1	3.17	6.04	-2.87	3.99e-11	2e-08	218
chr16	11148432	11148933	501	*	4.63	5.36	2.1	3.26	4.29e-11	2.13e-08	220
chr19	38878131	38878632	501	*	6.45	6.93	5.43	1.5	4.36e-11	2.15e-08	221
chr12	129886633	129887134	501	*	5.07	3.42	5.95	-2.53	4.53e-11	2.2e-08	224
chr17	49688175	49688676	501	*	6.55	7	5.68	1.32	4.53e-11	2.2e-08	225
chr12	109606526	109607027	501	*	5.17	3.61	6.04	-2.43	4.9e-11	2.34e-08	229
chr17	61568165	61568666	501	*	5.67	4.59	6.41	-1.81	5.89e-11	2.75e-08	234
chr1	183228263	183228764	501	*	7.06	7.5	6.19	1.31	6.28e-11	2.92e-08	235
chr13	23879409	23879910	501	*	3.86	0.56	4.94	-4.38	6.45e-11	2.97e-08	237
chr8	109639712	109640213	501	*	5.87	4.84	6.58	-1.74	7.18e-11	3.28e-08	239
chr14	77075643	77076144	501	*	6.8	7.24	5.97	1.27	8e-11	3.55e-08	246
chr13	23878126	23878627	501	*	3.87	0.42	4.97	-4.55	8.22e-11	3.62e-08	248
chr14	37245503	37246004	501	*	3.93	0.72	5.01	-4.28	8.78e-11	3.82e-08	251
chr12	93509946	93510447	501	*	4.78	3.07	5.68	-2.61	9e-11	3.9e-08	252
chr1	211344448	211344949	501	*	4.64	5.31	2.65	2.66	9.17e-11	3.93e-08	254
chr4	173502512	173503013	501	*	3.95	4.76	-0.25	5.01	9.2e-11	3.93e-08	255
chr3	194000021	194000522	501	*	5.15	5.73	3.73	2	9.43e-11	3.98e-08	258
chr19	51323638	51324139	501	*	4.56	5.33	1.58	3.74	9.81e-11	4.11e-08	261
chr12	130059344	130059845	501	*	4.04	4.86	-0.54	5.4	9.96e-11	4.14e-08	263
chr11	119615705	119616206	501	*	6	6.53	4.83	1.71	1.06e-10	4.35e-08	267
chr21	44901155	44901656	501	*	4.87	5.59	2.56	3.03	1.37e-10	5.46e-08	275
chr22	19497057	19497558	501	*	5.28	5.95	3.34	2.6	1.41e-10	5.58e-08	277
chr12	93397466	93397967	501	*	4.7	3.4	5.49	-2.09	1.54e-10	6.06e-08	278
chr9	133788801	133789302	501	*	5.45	6.04	4.02	2.03	1.6e-10	6.26e-08	279
chr7	26527091	26527592	501	*	5.23	5.86	3.56	2.31	1.86e-10	7.08e-08	286
chr8	57540773	57541274	501	*	4.24	2.23	5.19	-2.96	1.93e-10	7.28e-08	289
chr9	117642780	117643281	501	*	5.36	5.99	3.67	2.32	1.96e-10	7.39e-08	290
chr4	6555748	6556249	501	*	5.05	5.7	3.28	2.42	2.16e-10	7.99e-08	295
chr13	23825385	23825886	501	*	3.96	0.81	5.03	-4.22	2.41e-10	8.85e-08	298
chr16	57730844	57731345	501	*	4.11	4.84	1.51	3.34	2.72e-10	9.81e-08	303
chr6	7061337	7061838	501	*	5.51	4.35	6.27	-1.92	2.84e-10	1.01e-07	306
chr12	130042395	130042896	501	*	4.17	4.89	1.84	3.05	2.87e-10	1.02e-07	307
chr2	200477553	200478054	501	*	4.86	5.47	3.3	2.17	2.97e-10	1.05e-07	308
chr22	25365855	25366356	501	*	4.62	5.29	2.7	2.59	2.98e-10	1.05e-07	309
chr2	211067553	211068054	501	*	4.78	3.04	5.69	-2.65	3.03e-10	1.06e-07	310
chr22	47828246	47828747	501	*	3.94	4.76	-0.54	5.3	3.52e-10	1.2e-07	321
chr17	6853782	6854283	501	*	5.45	4.37	6.18	-1.81	3.71e-10	1.25e-07	324
chr12	93550699	93551200	501	*	5.55	4.43	6.29	-1.86	3.75e-10	1.26e-07	325
chr13	23839920	23840421	501	*	4.33	1.8	5.35	-3.55	3.8e-10	1.27e-07	326
chr3	62643248	62643749	501	*	4.66	5.3	2.89	2.41	4.14e-10	1.37e-07	329
chr14	104436121	104436622	501	*	5.77	6.32	4.48	1.85	4.53e-10	1.49e-07	332
chr12	3289354	3289855	501	*	5.31	4.02	6.11	-2.09	6.58e-10	2.06e-07	349
