gene_id	loops_gained	loops_shared	loops_lost	gene_name	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	chr	start	end	strand	Mean_log2FC	Loop_Changes
ENSG00000000419.12	0	1	0	DPM1	5	21.273641019932	0.000846503770839218	0.00896303505136693	chr20	50934867	50958555	-	0.227078895502512	Same loop(s)
ENSG00000000938.13	0	2	0	FGR	5	15.7817433900929	0.887802309722046	0.935874444279318	chr1	27612064	27635185	-	0.287356032940233	Same loop(s)
ENSG00000000971.16	0	1	1	CFH	3	13.7585730061458	0.743143414757414	0.850470020162303	chr1	196652043	196747504	+	-0.158121091122353	Lost loop(s)
ENSG00000001084.13	0	3	0	GCLC	13	63.8971223951842	2.77240071210514e-13	4.71211689728757e-11	chr6	53497341	53616970	-	-0.323956499839093	Same loop(s)
ENSG00000002016.18	0	0	1	RAD52	11	35.1307903640425	0.00662154557879285	0.0406188140789276	chr12	911736	990053	-	-0.480041140583303	Lost loop(s)
ENSG00000003056.8	1	0	0	M6PR	9	37.6442077858488	0.00815484653366676	0.0472140492734154	chr12	8940361	8949761	-	0.185660087650146	Gained loop(s)
ENSG00000003137.8	0	4	0	CYP26B1	3	6.79596951736894	0.234593277105793	0.43479614965957	chr2	72129238	72148038	-	-0.244763331034404	Same loop(s)
ENSG00000003400.15	0	1	0	CASP10	6	18.3542992954123	0.106495607329637	0.264515489853529	chr2	201182898	201229406	+	0.55727704635583	Same loop(s)
ENSG00000003436.16	0	1	0	TFPI	7	27.1250072358936	0.0483898851041216	0.158925108877515	chr2	187464230	187565760	-	0.178429499950417	Same loop(s)
ENSG00000004846.16	0	2	0	ABCB5	2	7.19968809183737	0.179741421884613	0.368726472728447	chr7	20615207	20777038	+	-0.379864848859043	Same loop(s)
ENSG00000004866.20	0	1	0	ST7	22	73.8823453737897	0.298424626030992	0.501758729501646	chr7	116953238	117230103	+	-0.117314231492727	Same loop(s)
ENSG00000004961.15	0	3	0	HCCS	3	14.9591396585272	0.000123192405990467	0.00204060912499124	chrX	11111301	11123086	+	0.277377173487209	Same loop(s)
ENSG00000005020.13	1	5	0	SKAP2	7	24.0114249650747	0.157804596201398	0.339397957455163	chr7	26667068	26995239	-	-0.0462981930429837	Gained loop(s)
ENSG00000005156.12	0	1	0	LIG3	13	57.8240679241333	0.0701216146263421	0.201706707797864	chr17	34980512	35009743	+	-0.162575134900799	Same loop(s)
