gene_id	chr	start	end
ENSG00000187608.10	chr1	1001138	1014540
ENSG00000231702.2	chr1	1008076	1008229
ENSG00000224969.1	chr1	1011997	1013193
ENSG00000188157.15	chr1	1020120	1056118
ENSG00000131591.17	chr1	1081818	1116361
ENSG00000162572.21	chr1	1280436	1292029
ENSG00000131584.19	chr1	1292390	1309609
ENSG00000278073.1	chr1	1296110	1296170
ENSG00000008130.15	chr1	1751232	1780457
ENSG00000078369.18	chr1	1785285	1891117
ENSG00000231050.1	chr1	1891471	1892658
ENSG00000142609.18	chr1	1921951	2003837
ENSG00000187730.9	chr1	2019329	2030758
ENSG00000226969.1	chr1	2049203	2050070
ENSG00000067606.17	chr1	2050411	2185395
ENSG00000162585.17	chr1	2184461	2212720
ENSG00000234396.3	chr1	2212523	2220738
ENSG00000157933.10	chr1	2228319	2310213
ENSG00000287356.1	chr1	2315040	2323085
ENSG00000116151.14	chr1	2321253	2391707
ENSG00000157916.20	chr1	2391775	2405442
ENSG00000157911.10	chr1	2403964	2413797
ENSG00000149527.18	chr1	2425980	2505532
ENSG00000142606.16	chr1	2590639	2633016
ENSG00000233234.1	chr1	2811850	2812692
ENSG00000287396.1	chr1	2814056	2817767
ENSG00000231630.1	chr1	2814432	2814998
ENSG00000284745.1	chr1	2960658	2968707
ENSG00000169717.7	chr1	3021467	3022903
ENSG00000177133.11	chr1	3059615	3068437
ENSG00000142611.17	chr1	3069168	3438621
ENSG00000130762.15	chr1	3454665	3481113
ENSG00000272088.1	chr1	3487246	3487627
ENSG00000162591.16	chr1	3487951	3611508
ENSG00000238260.1	chr1	3623190	3624743
ENSG00000158109.15	chr1	3625015	3630127
ENSG00000116213.16	chr1	3630767	3652761
ENSG00000236423.6	chr1	3900352	3917225
ENSG00000232596.3	chr1	4571481	4594016
ENSG00000196581.11	chr1	4654609	4792534
ENSG00000284692.2	chr1	5478736	5493057
ENSG00000260972.1	chr1	5492978	5494674
ENSG00000236948.2	chr1	5561709	5668295
ENSG00000131697.18	chr1	5862811	5992473
ENSG00000069424.15	chr1	5990927	6101193
ENSG00000158286.13	chr1	6205475	6221299
ENSG00000116237.16	chr1	6221193	6235972
ENSG00000225077.3	chr1	6234692	6239444
ENSG00000173673.8	chr1	6244179	6245578
ENSG00000158292.7	chr1	6247353	6261098
ENSG00000097021.19	chr1	6264269	6394391
ENSG00000069812.11	chr1	6412418	6424670
ENSG00000187017.17	chr1	6424776	6461367
ENSG00000265392.1	chr1	6429834	6429896
ENSG00000215788.10	chr1	6460786	6466195
ENSG00000171680.22	chr1	6466092	6520061
ENSG00000041988.15	chr1	6624866	6635586
ENSG00000007923.16	chr1	6634168	6701924
ENSG00000228750.7	chr1	6724637	6730012
ENSG00000284744.1	chr1	6767954	6770038
ENSG00000237436.1	chr1	6783892	6784843
ENSG00000171735.19	chr1	6785454	7769706
ENSG00000237365.1	chr1	7008376	7014279
ENSG00000207056.1	chr1	7219360	7219524
ENSG00000116288.13	chr1	7954291	7985505
ENSG00000200344.1	chr1	7982881	7982983
ENSG00000284747.1	chr1	7991134	8005312
ENSG00000284716.1	chr1	7998187	7999934
ENSG00000116285.13	chr1	8004404	8026309
ENSG00000238290.1	chr1	8026738	8122702
ENSG00000227634.3	chr1	8201518	8215210
ENSG00000200975.1	chr1	8206434	8206597
ENSG00000233645.1	chr1	8218190	8220529
ENSG00000162426.14	chr1	8317826	8344167
ENSG00000252254.1	chr1	8328067	8328179
ENSG00000142599.19	chr1	8352397	8848921
ENSG00000232912.6	chr1	8424645	8435013
ENSG00000234619.1	chr1	8750430	8751087
ENSG00000222511.2	chr1	8796571	8796673
ENSG00000226545.1	chr1	8798475	8799506
ENSG00000228423.2	chr1	8805860	8807051
ENSG00000229716.2	chr1	8831007	8831375
ENSG00000074800.16	chr1	8861000	8879190
ENSG00000274258.1	chr1	8866502	8866590
ENSG00000230679.1	chr1	8878835	8879894
ENSG00000201725.1	chr1	8883427	8883533
ENSG00000232208.2	chr1	8907393	8907744
ENSG00000232663.2	chr1	8909742	8909904
ENSG00000131686.15	chr1	8945867	8975092
ENSG00000142583.18	chr1	9035106	9088478
ENSG00000180758.12	chr1	9100305	9129102
ENSG00000049239.12	chr1	9234775	9271337
ENSG00000171621.14	chr1	9292894	9369532
ENSG00000171612.7	chr1	9539465	9585173
ENSG00000231181.1	chr1	9576427	9576985
ENSG00000188807.13	chr1	9588911	9614877
ENSG00000171608.16	chr1	9651731	9729114
ENSG00000178585.15	chr1	9848276	9910336
ENSG00000162441.12	chr1	9922113	9943407
