chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loop_ID	fdr	detection_scale
chr10	12190000	12210000	chr10	13050000	13100000	10001	10011	10001_10011	0.0671125704963535	3.67583473599051
chr10	21980000	22020000	chr10	22210000	22280000	10081	10085	10081_10085	0.121283151149978	3.2
chr10	29590000	29600000	chr10	29720000	29740000	10137	10138	10137_10138	0.121698542658757	2.11121265723663
chr10	30790000	30800000	chr10	31020000	31040000	10148	10150	10148_10150	0.139806944907704	3.2
chr1	161870000	161880000	chr1	162020000	162080000	1018	1019	1018_1019	0.101102427379606	3.2
chr10	51600000	51630000	chr10	51810000	51830000	10298	10303	10298_10303	0.157807819498658	2.11121265723663
chr10	60090000	60120000	chr10	60640000	60660000	10365	10368	10365_10368	0.095045904944136	2.11121265723663
chr10	63160000	63210000	chr10	63790000	63820000	10387	10394	10387_10394	0.095045904944136	4.52548339959391
chr10	72210000	72220000	chr10	72330000	72350000	10433	10435	10433_10435	0.0528195445075247	2.11121265723663
chr10	73860000	73880000	chr10	74080000	74090000	10447	10449	10447_10449	0.110826140076691	2.11121265723663
chr10	78960000	78980000	chr10	79180000	79220000	10489	10493	10489_10493	0.194604163926528	3.2
chr10	89780000	89800000	chr10	90840000	90860000	10553	10562	10553_10562	0.0682728923851064	2.11121265723663
chr10	92060000	92100000	chr10	92280000	92290000	10571	10572	10571_10572	0.149726174931691	4.22242531447326
chr10	96370000	96410000	chr10	97200000	97230000	10597	10607	10597_10607	0.0437708922795945	2.59920766833995
chr1	166890000	166920000	chr1	167200000	167270000	1061	1063	1061_1063	0.15957729290817	2.11121265723663
chr10	110800000	110810000	chr10	110890000	110900000	10678	10679	10678_10679	0.0858434984686594	2.11121265723663
chr10	112530000	112590000	chr10	113110000	113150000	10692	10695	10692_10695	0.147833088818683	3.2
chr10	115340000	115360000	chr10	116380000	116400000	10715	10722	10715_10722	0.0798417457581091	2.59920766833995
chr10	118560000	118590000	chr10	119030000	119050000	10741	10746	10741_10746	0.164110911901934	2.59920766833995
chr10	119730000	119760000	chr10	119850000	119880000	10755	10756	10755_10756	0.14522166994023	2.59920766833995
chr10	123990000	124030000	chr10	124220000	124240000	10787	10789	10787_10789	0.109646926580879	3.2
chr11	10770000	10800000	chr11	10920000	10960000	10945	10947	10945_10947	0.0785600065187199	2.59920766833995
chr11	11240000	11250000	chr11	11750000	11820000	10950	10958	10950_10958	0.0785600065187199	3.67583473599051
chr1	170960000	170980000	chr1	171300000	171330000	1103	1106	1103_1106	0.10942560917944	2.59920766833995
chr11	33840000	33860000	chr11	34350000	34370000	11104	11107	11104_11107	0.165332784241692	2.59920766833995
chr1	171970000	172060000	chr1	172700000	172770000	1110	1116	1110_1116	0.121424429411913	3.2
chr11	35810000	35830000	chr11	36120000	36150000	11119	11121	11119_11121	0.0448893686812577	3.2
chr11	47190000	47210000	chr11	47300000	47370000	11227	11229	11227_11229	0.1448474033722	2.59920766833995
chr11	57320000	57360000	chr11	57480000	57500000	11249	11251	11249_11251	0.137329879324513	2.59920766833995
chr11	58640000	58680000	chr11	58900000	58910000	11264	11266	11264_11266	0.0881970211898015	2.59920766833995
chr11	65690000	65730000	chr11	65820000	65830000	11332	11333	11332_11333	0.189092871455129	2.11121265723663
chr11	75020000	75040000	chr11	75230000	75250000	11417	11419	11417_11419	0.110069547740586	2.11121265723663
chr11	75790000	75810000	chr11	76300000	76330000	11425	11429	11425_11429	0.0827194486719853	2.11121265723663
chr11	77110000	77130000	chr11	77530000	77560000	11437	11441	11437_11441	0.0590923320447747	2.11121265723663
chr11	85840000	85870000	chr11	86280000	86340000	11494	11498	11494_11498	0.0437917562901723	2.11121265723663
chr11	92200000	92220000	chr11	92880000	92900000	11516	11517	11516_11517	0.104039392231471	2.59920766833995
chr11	110180000	110210000	chr11	110420000	110480000	11585	11588	11585_11588	0.135513702727318	2.59920766833995
chr11	113880000	113900000	chr11	113990000	114080000	11616	11618	11616_11618	0.1448738470272	2.11121265723663
chr1	180620000	180650000	chr1	180840000	180910000	1174	1175	1174_1175	0.0870127972531809	2.11121265723663
chr1	182080000	182120000	chr1	182760000	182800000	1185	1190	1185_1190	0.104663803348912	2.11121265723663
