event_ID	gene_id	gene_name	chr	start_gene	end_gene	gene_dge_status	strand_gene	start_prom	end_prom	start_enh	end_enh	detected_prom_enh_loop
PCa13266_0	ENSG00000113805.8	CNTN3	chr3	74262568	74521140	none	-	74520640	74522640	73846480	73846981	False
PCa13266_0	ENSG00000113805.8	CNTN3	chr3	74262568	74521140	none	-	74520640	74522640	75434954	75435455	False
PCa13266_0	ENSG00000113805.8	CNTN3	chr3	74262568	74521140	none	-	74520640	74522640	75579895	75580396	False
PCa13266_1	ENSG00000185008.17	ROBO2	chr3	75906695	77649964	none	+	75905195	75907195	75434954	75435455	False
PCa13266_1	ENSG00000185008.17	ROBO2	chr3	75906695	77649964	none	+	75905195	75907195	75579895	75580396	False
PCa13266_2	ENSG00000135315.12	CEP162	chr6	84124241	84227643	none	-	84227143	84229143	84227307	84227808	True
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	127118071	127119020	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	127119770	127120271	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	127515557	127516058	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	127971678	127972179	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	128498111	128498612	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	128500052	128500553	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	128503003	128503504	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	128504330	128504831	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	128507312	128507813	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	128508415	128508916	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	128511130	128511631	False
PCa13266_2	ENSG00000152894.14	PTPRK	chr6	127968779	128520674	none	-	128520174	128522174	128513685	128514186	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	127118071	127119020	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	127119770	127120271	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	127515557	127516058	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	127971678	127972179	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	128498111	128498612	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	128500052	128500553	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	128503003	128503504	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	128504330	128504831	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	128507312	128507813	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	128508415	128508916	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	128511130	128511631	False
PCa13266_2	ENSG00000172673.10	THEMIS	chr6	127708072	127918631	none	-	127918131	127920131	128513685	128514186	False
PCa13848_0	ENSG00000137968.16	SLC44A5	chr1	75202131	75611116	none	-	75610616	75612616	75615571	75616072	False
PCa13848_0	ENSG00000230863.3	AL137803.1	chr1	75641178	75724049	none	-	75723549	75725549	75615571	75616072	False
PCa13848_0	ENSG00000162618.15	ADGRL4	chr1	78889764	79282124	none	-	79281624	79283624	78619989	78620490	False
PCa13848_0	ENSG00000162618.15	ADGRL4	chr1	78889764	79282124	none	-	79281624	79283624	78840601	78841102	False
PCa13848_0	ENSG00000162618.15	ADGRL4	chr1	78889764	79282124	none	-	79281624	79283624	81306012	81306513	False
PCa13848_0	ENSG00000162618.15	ADGRL4	chr1	78889764	79282124	none	-	79281624	79283624	81550900	81551401	False
PCa13848_0	ENSG00000162618.15	ADGRL4	chr1	78889764	79282124	none	-	79281624	79283624	81801253	81801754	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204566270	204566771	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204578108	204578609	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204579076	204579577	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204806987	204807488	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204808288	204808789	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204813764	204814265	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204819261	204819762	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204820860	204821361	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204821893	204822394	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204822656	204823157	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	204941416	204941917	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205061725	205062226	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205248896	205249397	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205249483	205249984	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205259482	205259983	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205343873	205344374	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205477506	205478007	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205492844	205493345	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205495275	205495776	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205504604	205505105	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205515639	205516140	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205516416	205516917	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205518963	205519464	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205774954	205775455	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205783107	205783608	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205783863	205784364	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	205984296	205984797	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	206112743	206113244	False
PCa13848_1	ENSG00000117222.14	RBBP5	chr1	205086142	205122015	up and down	-	205121515	205123515	206117279	206117780	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204566270	204566771	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204578108	204578609	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204579076	204579577	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204806987	204807488	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204808288	204808789	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204813764	204814265	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204819261	204819762	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204820860	204821361	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204821893	204822394	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204822656	204823157	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	204941416	204941917	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205061725	205062226	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205248896	205249397	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205249483	205249984	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205259482	205259983	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205343873	205344374	True
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205477506	205478007	True
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205492844	205493345	True
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205495275	205495776	True
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205504604	205505105	True
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205515639	205516140	True
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205516416	205516917	True
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205518963	205519464	True
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205774954	205775455	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205783107	205783608	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205783863	205784364	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	205984296	205984797	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	206112743	206113244	False
PCa13848_1	ENSG00000117266.15	CDK18	chr1	205504595	205532793	up and down	+	205503095	205505095	206117279	206117780	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204566270	204566771	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204578108	204578609	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204579076	204579577	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204806987	204807488	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204808288	204808789	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204813764	204814265	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204819261	204819762	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204820860	204821361	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204821893	204822394	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204822656	204823157	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	204941416	204941917	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205061725	205062226	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205248896	205249397	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205249483	205249984	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205259482	205259983	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205343873	205344374	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205477506	205478007	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205492844	205493345	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205495275	205495776	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205504604	205505105	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205515639	205516140	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205516416	205516917	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205518963	205519464	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205774954	205775455	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205783107	205783608	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205783863	205784364	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	205984296	205984797	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	206112743	206113244	False
PCa13848_1	ENSG00000133069.17	TMCC2	chr1	205227946	205285632	up and down	+	205226446	205228446	206117279	206117780	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204566270	204566771	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204578108	204578609	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204579076	204579577	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204806987	204807488	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204808288	204808789	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204813764	204814265	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204819261	204819762	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204820860	204821361	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204821893	204822394	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204822656	204823157	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	204941416	204941917	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205061725	205062226	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205248896	205249397	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205249483	205249984	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205259482	205259983	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205343873	205344374	True
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205477506	205478007	True
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205492844	205493345	True
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205495275	205495776	True
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205504604	205505105	True
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205515639	205516140	True
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205516416	205516917	True
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205518963	205519464	True
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205774954	205775455	False
PCa13848_1	ENSG00000162873.14	KLHDC8A	chr1	205336065	205357090	up and down	-	205356590	205358590	205783107	205783608	False
