chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loopID	Benign	Malignant	Consistent_in_benign_or_tumour	loop_type
chr10	43650000	43720000	chr10	44040000	44100000	10221	10229	10221_10229	1	3	TRUE	nonT2E-specific
chr10	63160000	63210000	chr10	63610000	63630000	10387	10390	10387_10390	3	3	TRUE	nonT2E-specific
chr10	78040000	78080000	chr10	79280000	79300000	10483	10494	10483_10494	0	3	TRUE	nonT2E-specific
chr10	100320000	100340000	chr10	100500000	100520000	10631	10633	10631_10633	2	3	TRUE	nonT2E-specific
chr10	109880000	109900000	chr10	110110000	110150000	10668	10670	10668_10670	3	4	TRUE	nonT2E-specific
chr10	132210000	132250000	chr10	132440000	132480000	10850	10853	10850_10853	0	3	TRUE	nonT2E-specific
chr11	11010000	11050000	chr11	12020000	12070000	10948	10962	10948_10962	0	3	TRUE	nonT2E-specific
chr11	18540000	18550000	chr11	18720000	18750000	11023	11024	11023_11024	1	3	TRUE	nonT2E-specific
chr11	47140000	47180000	chr11	47300000	47370000	11226	11229	11226_11229	1	4	TRUE	nonT2E-specific
chr12	51040000	51080000	chr12	51330000	51360000	12159	12161	12159_12161	3	3	TRUE	nonT2E-specific
chr12	53690000	53720000	chr12	54190000	54250000	12187	12190	12187_12190	2	3	TRUE	nonT2E-specific
chr14	96090000	96120000	chr14	96420000	96430000	13674	13678	13674_13678	1	3	TRUE	nonT2E-specific
chr15	71090000	71130000	chr15	71400000	71470000	14051	14053	14051_14053	2	3	TRUE	nonT2E-specific
chr16	25040000	25070000	chr16	25220000	25250000	14449	14452	14449_14452	3	4	TRUE	nonT2E-specific
chr16	78490000	78530000	chr16	79580000	79640000	14715	14720	14715_14720	3	3	TRUE	nonT2E-specific
chr16	83950000	83970000	chr16	84460000	84500000	14747	14751	14747_14751	1	3	TRUE	nonT2E-specific
chr1	230760000	230820000	chr1	230910000	230930000	1494	1496	1494_1496	2	3	TRUE	nonT2E-specific
chr17	60710000	60750000	chr17	61540000	61600000	15275	15281	15275_15281	4	3	TRUE	nonT2E-specific
chr1	234470000	234530000	chr1	235410000	235450000	1534	1545	1534_1545	1	4	TRUE	nonT2E-specific
chr20	24980000	25020000	chr20	25390000	25410000	16431	16438	16431_16438	1	3	TRUE	nonT2E-specific
chr20	47480000	47500000	chr20	47610000	47710000	16624	16625	16624_16625	0	3	TRUE	nonT2E-specific
chr21	36410000	36430000	chr21	36910000	36940000	16889	16895	16889_16895	2	3	TRUE	nonT2E-specific
chr21	38490000	38530000	chr21	38700000	38760000	16910	16914	16910_16914	2	4	TRUE	nonT2E-specific
chr21	39850000	39880000	chr21	40100000	40170000	16925	16927	16925_16927	5	4	TRUE	nonT2E-specific
chr22	29720000	29750000	chr22	30040000	30120000	17089	17095	17089_17095	1	3	TRUE	nonT2E-specific
chr22	46820000	46850000	chr22	48480000	48520000	17258	17271	17258_17271	1	3	TRUE	nonT2E-specific
chr1	28780000	28800000	chr1	29180000	29250000	264	269	264_269	0	3	TRUE	nonT2E-specific
chr1	31160000	31210000	chr1	31540000	31560000	285	288	285_288	3	3	TRUE	nonT2E-specific
chr2	224340000	224370000	chr2	224980000	225010000	2911	2919	2911_2919	1	3	TRUE	nonT2E-specific
chr3	40710000	40750000	chr3	41860000	41930000	3316	3335	3316_3335	1	3	TRUE	nonT2E-specific
chr3	54830000	54880000	chr3	55710000	55750000	3455	3462	3455_3462	0	3	TRUE	nonT2E-specific
chr3	58630000	58660000	chr3	59040000	59060000	3486	3488	3486_3488	1	3	TRUE	nonT2E-specific
chr3	73050000	73130000	chr3	73820000	73860000	3619	3625	3619_3625	3	4	TRUE	nonT2E-specific
